CYZ,Chézy sur Marne,48.991852,3.364289,
D,Dourdan,48.533449,2.009525,
DA,Dourdan la Forêt,48.534878,1.995185,
DAM,Dammartin Juilly Saint-Mard,49.032112,2.698707,
DDI,Dordives,48.147652,2.762508,
DEU,Deuil Montmagny,48.975835,2.338062,
DFR,Denfert Rochereau,48.833626,2.332728,
DMO,Domont,49.032693,2.337794,
DRN,Drancy,48.932919,2.455140,
DX,Dreux,48.731216,1.370633,
ECZ,Ecouen Ezanville,49.022871,2.363071,
ELW,L'Etang la Ville,48.868130,2.076732,
ELY,Egly,48.582421,2.222171,
EM,Emerainville Pontault Combault,48.806437,2.618188,
EN,Enghien les Bains,48.973103,2.306975,
EPL,Epluches,49.054638,2.121968,
EPO,Epône Mézières,48.963400,1.808171,
EPV,Epinay Villetaneuse,48.958176,2.328587,
ERA,Eragny Neuville,49.018312,2.090910,
ERE,Ermont Eaubonne,48.980327,2.271270,
ERM,Ermont Halte,48.989716,2.263194,
ERT,Ermont Eaubonne,48.980869,2.271828,
ESO,Essonnes Robinson,48.606131,2.463731,
ETP,Etampes,48.437159,2.159792,
ETY,Etréchy,48.493604,2.194478,
EVC,Evry Courcouronnes Centre,48.625750,2.428814,
EVR,Evry Val de Seine,48.634145,2.452869,
EY,Esbly,48.903116,2.810415,
EYO,Epinay sur Orge,48.669390,2.331764,
EYS,Epinay sur Seine,48.954201,2.302609,
FAF,Fontenay le Fleury,48.807489,2.040688,
FFY,Ferrières Fontenay,48.096642,2.772177,
FMN,Fontaine Michalon,48.743458,2.296893,
FMP,Faremoutiers Pommeuse,48.808498,2.993122,
FMY,La Frette Montigny,48.980221,2.180075,
FNR,Fontenay aux Roses,48.787815,2.292633,
FON,Fontainebleau Avon,48.416424,2.726296,
FPB,Franconville Le Plessis Bouchard,48.993652,2.234952,
FPN,Frépillon,49.046425,2.197055,
FPO,Fontaine le Port,48.487053,2.751105,
FSB,Fontenay sous Bois,48.843719,2.464775,
